,open,close,high,low,volume,money
2018-08-02,219.75,219.8,219.8,219.74,245422000.0,2412372292.0
2018-08-03,219.83,219.94,219.95,219.83,220972900.0,2181285600.0
2018-08-06,220.03,220.08,220.09,220.02,181431800.0,1750305123.0
2018-08-07,220.11,220.18,220.18,220.11,173418400.0,1714566795.0
2018-08-08,220.21,220.29,220.29,220.21,181565200.0,1778439615.0
2018-08-09,220.32,220.32,220.33,220.31,133780600.0,1270303555.0
2018-08-10,220.36,220.4,220.4,220.35,191312500.0,1845404382.0
2018-08-13,220.49,220.49,220.5,220.47,126813200.0,1242286731.0
2018-08-14,220.53,220.49,220.53,220.46,127724800.0,1217843884.0
2018-08-15,220.52,220.54,220.54,220.52,177681800.0,1706316882.0
2018-08-16,220.57,220.56,220.57,220.53,87291000.0,835785355.0
2018-08-17,220.59,220.63,220.63,220.59,78706100.0,763089797.9
2018-08-20,220.72,220.74,220.75,220.71,68703300.0,668968227.5
2018-08-21,220.77,220.76,220.77,220.74,60127900.0,582351053.5
2018-08-22,220.79,220.77,220.79,220.76,111054800.0,1079823491.0
2018-08-23,220.81,220.82,220.82,220.79,108187000.0,1035713889.0
2018-08-24,220.85,220.86,220.87,220.83,132548000.0,1281744030.3
2018-08-27,220.96,220.97,220.97,220.94,52028900.0,495308884.4
2018-08-28,221.01,221.01,221.02,220.99,76942300.0,712232061.2
2018-08-29,221.04,221.04,221.05,221.04,88091000.0,862170417.0
2018-08-30,221.07,221.06,221.08,221.06,101450200.0,951008414.0
2018-08-31,221.09,221.13,221.13,221.09,109372200.0,1070284401.5
2018-09-03,221.22,221.24,221.25,221.21,88897300.0,871379479.6
2018-09-04,221.27,221.28,221.28,221.26,90516300.0,861369571.1
2018-09-05,221.31,221.31,221.32,221.3,69910000.0,677277264.0
2018-09-06,221.34,221.35,221.36,221.34,86345400.0,840385840.1
2018-09-07,221.39,221.39,221.4,221.39,76586500.0,746286751.8
2018-09-10,221.48,221.49,221.49,221.47,85256800.0,820404809.3
2018-09-11,221.52,221.49,221.52,221.48,88782900.0,867115209.1
2018-09-12,221.52,221.5,221.52,221.49,100558700.0,979236925.5
2018-09-13,221.53,221.54,221.54,221.51,145912700.0,1433673180.4
2018-09-14,221.57,221.6,221.6,221.57,134535100.0,1317194050.2
